DEP,Libelle,nb_communes,total_communes,pct_communes,pop_equip,total_pop,pct_pop
01,laboratoire_d_analyses_et_de_biologie_medicale,24,392,"0,0612244898","209565,9167","628210,75","0,3335917392"
01,ambulance,36,392,"0,09183673469",208948,"628210,75","0,3326081255"
01,pharmacie,102,392,"0,2602040816","410842,25","628210,75","0,6539879332"
01,cinema,19,392,"0,04846938776","187239,5","628210,75","0,298052047"
01,bibliotheque,225,392,"0,5739795918","527355,6667","628210,75","0,8394566102"
01,arts_du_spectacle,4,392,"0,01020408163","84126,41667","628210,75","0,133914322"
01,decheterie,50,392,"0,1275510204","226088,5","628210,75","0,3598927589"
02,police,5,798,"0,00626566416","127986,875","513204,6667","0,24938759"
02,gendarmerie,37,798,"0,04636591479","185063,6667","513204,6667","0,3606040215"
02,reseau_de_proximite_pole_emploi,8,798,"0,01002506266","140509,1667","513204,6667","0,2737877806"
02,aeroport,0,798,0,0,"513204,6667",0
02,gare_de_voyageurs_d_interet_national,0,798,0,0,"513204,6667",0
02,gare_de_voyageurs_d_interet_regional,11,798,"0,01378446115","167895,7083","513204,6667","0,327151562"
02,gare_de_voyageurs_d_interet_local,32,798,"0,04010025063",40734,"513204,6667","0,07937184255"
02,implantations_france_services_ifs,29,798,"0,03634085213","145592,5","513204,6667","0,2836928607"
02,bureau_de_poste,73,798,"0,09147869674","273065,4583","513204,6667","0,5320790633"
02,agence_postale,84,798,"0,1052631579","130128,625","513204,6667","0,2535608763"
02,ecole_maternelle,57,798,"0,07142857143","232917,7917","513204,6667","0,4538497149"
02,ecole_primaire,229,798,"0,2869674185",339911,"513204,6667","0,6623302984"
02,ecole_elementaire,94,798,"0,1177944862","248818,875","513204,6667","0,4848336174"
02,college,50,798,"0,0626566416","238910,5417","513204,6667","0,4655268301"
02,lycee_d_enseignement_general_et_ou_technologique,10,798,"0,01253132832","150742,5833","513204,6667","0,2937280059"
02,lycee_d_enseignement_professionnel,12,798,"0,01503759398","151322,1667","513204,6667","0,2948573474"
02,lycee_d_enseignement_technique_et_ou_professionnel_agricole,7,798,"0,008771929825","16738,33333","513204,6667","0,03261531787"
02,etablissement_sante_court_sejour,10,798,"0,01253132832","145332,4167","513204,6667","0,2831860778"
02,etablissement_sante_moyen_sejour,12,798,"0,01503759398","134604,5833","513204,6667","0,2622824617"
02,etablissement_sante_long_sejour,6,798,"0,007518796992","96803,75","513204,6667","0,1886260128"
02,urgences,7,798,"0,008771929825","138134,8333","513204,6667","0,2691612963"
02,maternite,5,798,"0,00626566416","126074,8333","513204,6667","0,2456618997"
02,dialyse,8,798,"0,01002506266","134609,6667","513204,6667","0,2622923668"
02,medecin_generaliste,95,798,"0,119047619","292768,9583","513204,6667","0,5704721281"
02,chirurgien_dentiste,49,798,"0,06140350877","242588,125","513204,6667","0,4726927496"
02,sage_femme,27,798,"0,03383458647","184963,2083","513204,6667","0,3604082744"
02,infirmier,183,798,"0,2293233083","350464,1667","513204,6667","0,6828935694"
02,laboratoire_d_analyses_et_de_biologie_medicale,12,798,"0,01503759398","170757,4583","513204,6667","0,3327277974"
02,ambulance,35,798,"0,04385964912","207901,2083","513204,6667","0,4051038929"
02,pharmacie,97,798,"0,1215538847","302632,7083","513204,6667","0,5896920429"
02,cinema,14,798,"0,01754385965","173777,2917","513204,6667","0,3386120645"
02,bibliotheque,118,798,"0,1478696742",293923,"513204,6667","0,5727208248"
02,arts_du_spectacle,8,798,"0,01002506266","135959,5833","513204,6667","0,2649227339"
02,decheterie,48,798,"0,06015037594","189877,125","513204,6667","0,3699832393"
03,police,4,317,"0,01261829653","80428,66667",325065,"0,2474233358"
03,gendarmerie,26,317,"0,08201892744","124222,9167",325065,"0,3821479294"
03,reseau_de_proximite_pole_emploi,4,317,"0,01261829653","77742,16667",325065,"0,2391588349"
03,aeroport,0,317,0,0,325065,0
03,gare_de_voyageurs_d_interet_national,1,317,"0,003154574132","23842,5",325065,"0,07334686909"
03,gare_de_voyageurs_d_interet_regional,4,317,"0,01261829653","60144,66667",325065,"0,1850235081"
03,gare_de_voyageurs_d_interet_local,13,317,"0,04100946372",54789,325065,"0,1685478289"
03,implantations_france_services_ifs,19,317,"0,05993690852",93874,325065,"0,2887853199"
03,bureau_de_poste,52,317,"0,1640378549","199766,4167",325065,"0,6145429888"
03,agence_postale,103,317,"0,3249211356","131368,0833",325065,"0,4041286614"
03,ecole_maternelle,55,317,"0,1735015773",194691,325065,"0,5989294449"
03,ecole_primaire,128,317,"0,403785489","223563,4167",325065,"0,6877498859"
03,ecole_elementaire,95,317,"0,2996845426","208990,5",325065,"0,6429191085"
03,college,33,317,"0,1041009464","176756,1667",325065,"0,5437563769"
03,lycee_d_enseignement_general_et_ou_technologique,9,317,"0,02839116719","116706,4167",325065,"0,3590248617"
03,lycee_d_enseignement_professionnel,6,317,"0,01892744479","95502,83333",325065,"0,2937961126"
03,lycee_d_enseignement_technique_et_ou_professionnel_agricole,7,317,"0,02208201893","6018,5",325065,"0,01851475859"
03,etablissement_sante_court_sejour,6,317,"0,01892744479","85874,66667",325065,"0,2641769082"
03,etablissement_sante_moyen_sejour,8,317,"0,02523659306","89102,16667",325065,"0,2741056917"
03,etablissement_sante_long_sejour,4,317,"0,01261829653","75248,66667",325065,"0,2314880614"
03,urgences,3,317,"0,009463722397","74348,16667",325065,"0,2287178462"
03,maternite,3,317,"0,009463722397","74348,16667",325065,"0,2287178462"
03,dialyse,3,317,"0,009463722397","74348,16667",325065,"0,2287178462"
03,medecin_generaliste,68,317,"0,214511041","222435,25",325065,"0,684279298"
03,chirurgien_dentiste,39,317,"0,1230283912","189098,75",325065,"0,5817259625"
03,sage_femme,17,317,"0,05362776025","126308,5833",325065,"0,3885640821"
03,infirmier,105,317,"0,3312302839",247386,325065,"0,7610354852"
03,laboratoire_d_analyses_et_de_biologie_medicale,12,317,"0,03785488959","129668,8333",325065,"0,3989012454"
03,ambulance,37,317,"0,1167192429","150467,75",325065,"0,4628851153"
03,pharmacie,65,317,"0,2050473186","220894,75",325065,"0,6795402458"
03,cinema,8,317,"0,02523659306","95832,16667",325065,"0,2948092433"
03,bibliotheque,231,317,"0,7287066246","296340,25",325065,"0,9116338271"
03,arts_du_spectacle,5,317,"0,01577287066","99265,41667",325065,"0,3053709771"
03,decheterie,35,317,"0,1104100946","76695,66667",325065,"0,2359394788"
